Date,Vol
2022-08-30,29850
2022-09-08,5359
2022-09-09,5391
2022-09-10,19097
2022-09-11,15612
2022-09-12,21383
2022-09-13,21634
2022-09-14,22331
2022-09-15,34164
2022-09-16,38356
2022-09-17,30955
2022-09-18,24908
2022-09-19,32967
2022-09-20,33590
2022-09-21,34566
2022-09-22,34433
2022-09-23,39477
2022-09-24,16706
2022-09-25,16939
2022-10-12,9706
2022-10-13,7211
2022-10-14,7663
2022-10-15,7031
2022-10-16,6456
2022-10-17,31677
2022-10-18,147660
2022-10-19,156817
2022-10-20,155872
2022-10-21,35934
2022-10-22,60557
2022-10-23,57993
2022-10-24,60876
2022-10-25,136742
2022-10-26,141119
2022-10-27,138998
2022-10-28,64227
2022-10-29,57649
2022-10-30,51258
2022-10-31,59796
2022-11-01,247622
2022-11-02,242720
2022-11-03,255407
2022-11-04,61556
2022-11-05,20255
2022-11-06,15747
2022-11-07,20200
2022-11-13,9790
2022-11-14,7942
2022-11-15,11161
2022-11-16,10789
2022-11-17,10776
2022-11-18,10858
2022-11-19,11014
2022-11-20,4942
2022-11-30,12587
2022-12-01,46577
2022-12-02,49335
2022-12-03,53170
2022-12-04,47829
2022-12-05,57940
2022-12-06,59958
2022-12-07,55840
2022-12-08,60044
2022-12-09,59178
2022-12-10,56599
2022-12-11,49440
2022-12-12,54387
2022-12-13,58343
