ARREST_DATE,count
08/22/2021,281
08/22/2022,448
08/23/2021,342
08/23/2022,585
08/24/2021,508
08/24/2022,631
08/25/2021,556
08/25/2022,632
08/26/2021,529
08/26/2022,526
08/27/2021,376
08/27/2022,459
08/28/2021,340
08/28/2022,380
08/29/2021,368
08/29/2022,463
08/30/2021,362
08/30/2022,646
08/31/2021,449
08/31/2022,578
09/01/2021,515
09/01/2022,694
09/02/2021,419
09/02/2022,516
09/03/2021,428
09/03/2022,449
09/04/2021,370
09/04/2022,424
09/05/2021,339
09/05/2022,340
09/06/2021,318
09/06/2022,526
09/07/2021,509
09/07/2022,767
09/08/2021,575
09/08/2022,638
09/09/2021,460
09/09/2022,517
09/10/2021,424
09/10/2022,398
09/11/2021,344
09/11/2022,357
09/12/2021,361
09/12/2022,422
09/13/2021,389
09/13/2022,599
09/14/2021,513
09/14/2022,761
09/15/2021,588
09/15/2022,611
09/16/2021,583
09/16/2022,538
09/17/2021,504
09/17/2022,392
09/18/2021,402
09/18/2022,392
09/19/2021,350
09/19/2022,383
09/20/2021,368
09/20/2022,592
09/21/2021,701
09/21/2022,638
09/22/2021,528
09/22/2022,548
09/23/2021,472
09/23/2022,486
09/24/2021,455
09/24/2022,411
09/25/2021,378
09/25/2022,392
09/26/2021,346
09/26/2022,422
09/27/2021,482
09/27/2022,662
09/28/2021,521
09/28/2022,616
09/29/2021,578
09/29/2022,771
09/30/2021,536
09/30/2022,618
10/01/2021,460
10/01/2022,429
10/02/2021,379
10/02/2022,340
10/03/2021,367
10/03/2022,426
10/04/2021,464
10/04/2022,660
10/05/2021,571
10/05/2022,703
10/06/2021,640
10/06/2022,731
10/07/2021,597
10/07/2022,548
10/08/2021,470
10/08/2022,461
10/09/2021,415
10/09/2022,364
10/10/2021,318
10/10/2022,424
10/11/2021,405
10/11/2022,721
10/12/2021,521
10/12/2022,694
10/13/2021,683
10/13/2022,717
10/14/2021,615
10/14/2022,522
10/15/2021,480
10/15/2022,474
10/16/2021,418
10/16/2022,395
10/17/2021,395
10/17/2022,405
10/18/2021,381
10/18/2022,686
10/19/2021,632
10/19/2022,876
10/20/2021,592
10/20/2022,670
10/21/2021,606
10/21/2022,585
10/22/2021,473
10/22/2022,444
10/23/2021,400
10/23/2022,336
10/24/2021,356
10/24/2022,468
10/25/2021,394
10/25/2022,784
10/26/2021,463
10/26/2022,732
10/27/2021,513
10/27/2022,672
10/28/2021,440
10/28/2022,611
10/29/2021,377
10/29/2022,445
10/30/2021,309
10/30/2022,419
10/31/2021,319
10/31/2022,416
11/01/2021,431
11/01/2022,696
11/02/2021,459
11/02/2022,771
11/03/2021,627
11/03/2022,754
11/04/2021,580
11/04/2022,619
11/05/2021,488
11/05/2022,422
11/06/2021,341
11/06/2022,436
11/07/2021,340
11/07/2022,473
11/08/2021,406
11/08/2022,668
11/09/2021,582
11/09/2022,772
11/10/2021,581
11/10/2022,660
11/11/2021,557
11/11/2022,553
11/12/2021,462
11/12/2022,535
11/13/2021,371
11/13/2022,358
11/14/2021,355
11/14/2022,470
11/15/2021,357
11/15/2022,628
11/16/2021,555
11/16/2022,792
11/17/2021,649
11/17/2022,674
11/18/2021,519
11/18/2022,538
11/19/2021,478
11/19/2022,463
11/20/2021,332
11/20/2022,385
11/21/2021,323
11/21/2022,433
11/22/2021,393
11/22/2022,629
11/23/2021,407
11/23/2022,553
11/24/2021,350
11/24/2022,231
11/25/2021,194
11/25/2022,520
11/26/2021,384
11/26/2022,464
11/27/2021,374
11/27/2022,397
11/28/2021,337
11/28/2022,465
11/29/2021,352
11/29/2022,698
11/30/2021,484
11/30/2022,606
12/01/2021,604
12/01/2022,693
12/02/2021,558
12/02/2022,539
12/03/2021,533
12/03/2022,490
12/04/2021,347
12/04/2022,425
12/05/2021,378
12/05/2022,498
12/06/2021,421
12/06/2022,606
12/07/2021,513
12/07/2022,654
12/08/2021,541
12/08/2022,693
12/09/2021,503
12/09/2022,549
12/10/2021,497
12/10/2022,487
12/11/2021,390
12/11/2022,336
12/12/2021,349
12/12/2022,425
12/13/2021,395
12/13/2022,678
12/14/2021,552
12/14/2022,649
12/15/2021,530
12/15/2022,486
12/16/2021,514
12/16/2022,485
12/17/2021,469
12/17/2022,466
12/18/2021,313
12/18/2022,345
12/19/2021,319
12/19/2022,442
12/20/2021,375
12/20/2022,568
12/21/2021,453
12/21/2022,598
12/22/2021,499
12/22/2022,473
12/23/2021,324
12/23/2022,334
12/24/2021,212
12/24/2022,219
12/25/2021,181
12/25/2022,240
12/26/2021,240
12/26/2022,333
12/27/2021,297
12/27/2022,530
12/28/2021,359
12/28/2022,618
12/29/2021,366
12/29/2022,625
12/30/2021,325
12/30/2022,478
12/31/2021,332
12/31/2022,357
